name,club_abb,club,2021 guaranteed comp.,2022 guar. comp.,position,birth_city,birth_country,"height, cm","weight, kg",foot,games_played,game_started,sum,average,trim data,merge data,length,exact
Jon Kempin,DC,DC United,85444,84000,Goalkeeper,,,186,79,,10,9,169444,9.5,Jon Kempin," , ",10,TRUE
Nabilai Kibunguchy,MIN,Minnesota United,63547,66724,Defender,"Elk Grove, CA",USA,191,85,,0,0,130271,0,Nabilai Kibunguchy,"USA , Elk Grove, CA",18,FALSE
Perry Kitchen,CLB,Columbus Crew,301667,326667,Midfielder,"Indianapolis, IN",USA,183,72,,5,3,628334,4,Perry Kitchen,"USA , Indianapolis, IN",13,FALSE
Edward Kizza,NE,New England Revolutio,63547,66724,Forward,Kampala,Uganda,175,77,,11,3,130271,7,Edward Kizza,"Uganda , Kampala",12,FALSE
Freddy Kleemann,ATX,Austin,63547,66724,Defender,"Newbury Park, CA",USA,193,91,,3,0,130271,1.5,Freddy Kleemann,"USA , Newbury Park, CA",15,FALSE
Jonathan Klinsmann,LA,LA Galaxy,81375,200000,Goalkeeper,Munich,Germany,194,89,Right,3,3,281375,3,Jonathan Klinsmann,"Germany , Munich",18,FALSE
Brad Knighton,NE,New England Revolutio,146750,157500,Goalkeeper,Hickory,USA,188,82,Right,6,6,304250,6,Brad Knighton,"USA , Hickory",13,FALSE
Zan Kolmanic,ATX,Austin,225000,300000,Defender,,,178,69,,30,23,525000,26.5,Zan Kolmanic," , ",12,TRUE
Yuya Kubo,CIN,Cincinnati,1206750,1206750,Forward,Yamaguchi,Japan,178,72,Right,29,29,2413500,29,Yuya Kubo,"Japan , Yamaguchi",9,FALSE
Oliver Larraz,COL,Colorado Rapids,63547,65500,Midfielder,,,178,63,,4,0,129047,2,Oliver Larraz," , ",13,TRUE
Ariel Lassiter,HOU,Houston Dynamo,230280,230280,Forward,,,178,70,Both,19,4,460560,11.5,Ariel Lassiter," , ",14,TRUE
Vukashin Latinovich,NYC,New York City,63547,85444,Defender,"Brookfield, WI",USA,186,82,,3,1,148991,2,Vukashin Latinovich,"USA , Brookfield, WI",19,FALSE
Kelvin Leerdam,MIA,Inter Miami,297625,335000,Defender,Paramaribo,Suriname,178,79,,29,18,632625,23.5,Kelvin Leerdam,"Suriname , Paramaribo",14,FALSE
Nico Lemoine,HOU,Houston Dynamo,66724,84000,Forward,"Livermore, CA",USA,180,67,,1,1,150724,1,Nico Lemoine,"USA , Livermore, CA",12,FALSE
Brooks Lennon,ATL,Atlanta United,375000,500000,Defender,Paradise Valley,USA,178,71,Right,32,30,875000,31,Brooks Lennon,"USA , Paradise Valley",13,FALSE
Antonio Leone,LAFC,LAFC,83375,102000,Defender,Long Beach,USA,185,82,,0,0,185375,0,Antonio Leone,"USA , Long Beach",13,FALSE
Danny Leyva,SEA,Seattle Sounders,100798,129423,Midfielder,Las Vegas,,178,68,,24,8,230221,16,Danny Leyva," , Las Vegas",11,FALSE
Nick Lima,ATX,Austin,350000,350000,Defender,Castro Valley,USA,176,80,,28,21,700000,24.5,Nick Lima,"USA , Castro Valley",9,FALSE
Nicolas Lodeiro,SEA,Seattle Sounders,2736667,3256667,Midfielder,Paysandú,Uruguay,174,71,Left,9,4,5993334,6.5,Nicolas Lodeiro,"Uruguay , Paysandú",15,FALSE
Aaron Long,RBNY,New York Red Bulls,925000,1080000,Defender,,,186,79,,5,5,2005000,5,Aaron Long," , ",10,TRUE
Daniel Lovitz,NSH,Nashville,415556,498750,Defender,Wyndmoor,USA,178,77,Left,27,26,914306,26.5,Daniel Lovitz,"USA , Wyndmoor",13,FALSE
Adam Lundkvist,HOU,Houston Dynamo,372500,372500,Defender,,Sweden,175,65,,25,22,745000,23.5,Adam Lundkvist,"Sweden , ",14,FALSE
Larrys Mabiala,POR,Portland Timbers,450000,460000,Defender,Montfermeil,France,189,84,Right,26,21,910000,23.5,Larrys Mabiala,"France , Montfermeil",14,FALSE
Lucas Maciel Felix,NE,New England Revolutio,63547,69902,Midfielder,,,170,70,,19,15,133449,17,Lucas Maciel Felix," , ",18,TRUE
Zac Macmath,RSL,Real Salt Lake,200000,200000,Goalkeeper,St. Petersburg,USA,188,80,,7,7,400000,7,Zac Macmath,"USA , St. Petersburg",11,FALSE
Jt Marcinkowski,SJ,San Jose Earthquakes,177000,300000,Goalkeeper,Alamo,USA,185,84,,33,33,477000,33,Jt Marcinkowski,"USA , Alamo",15,FALSE
Jahkeele Marshall-Rutty,TOR,Toronto,106842,136842,Forward,Brampton,Canada,171,70,,11,4,243684,7.5,Jahkeele Marshall-Rutty,"Canada , Brampton",23,FALSE
Nick Marsman,MIA,Inter Miami,262188,587184,Goalkeeper,Zwolle,Netherlands,188,88,Right,22,22,849372,22,Nick Marsman,"Netherlands , Zwolle",12,FALSE
Jose Antonio Martinez,DAL,Dallas,673000,723000,Defender,La Palma del Condado,Spain,189,84,Left,19,16,1396000,17.5,Jose Antonio Martinez,"Spain , La Palma del Condado",21,FALSE
Jose Andres Martinez,PHI,Philadelphia Union,251250,276250,Midfielder,Maracaibo,Venezuela,178,72,Right,24,23,527500,23.5,Jose Andres Martinez,"Venezuela , Maracaibo",20,FALSE
Alexandru Matan,CLB,Columbus Crew,408250,458250,Midfielder,Galati,Romania,168,61,,28,9,866500,18.5,Alexandru Matan,"Romania , Galati",15,FALSE
Jimmy Maurer,DAL,Dallas,267888,292887,Goalkeeper,Lawrenceville,,188,87,,24,24,560775,24,Jimmy Maurer," , Lawrenceville",12,FALSE
Chris Mavinga,TOR,Toronto,887500,1037500,Defender,,France,183,81,,22,21,1925000,21.5,Chris Mavinga,"France , ",13,FALSE
Philip Mayaka,COL,Colorado Rapids,94375,113000,Midfielder,Nairobi,Kenya,170,61,,0,0,207375,0,Philip Mayaka,"Kenya , Nairobi",13,FALSE
Olivier Mbaizo,PHI,Philadelphia Union,89513,367343,Defender,Douala,Cameroon,180,70,Right,30,28,456856,29,Olivier Mbaizo,"Cameroon , Douala",14,FALSE
John Mccarthy,MIA,Inter Miami,136583,110000,Goalkeeper,Philadelphia,USA,185,84,,13,12,246583,12.5,John Mccarthy,"USA , Philadelphia",13,FALSE
Dax Mccarty,NSH,Nashville,725000,517500,Midfielder,Winter Park,USA,176,68,Right,28,24,1242500,26,Dax Mccarty,"USA , Winter Park",11,FALSE
Christian Mcfarlane,NYC,New York City,81803,83756,Defender,,,182,63,,0,0,165559,0,Christian Mcfarlane," , ",19,TRUE
Jack Mcglynn,PHI,Philadelphia Union,78892,91400,Midfielder,,USA,183,73,Left,19,7,170292,13,Jack Mcglynn,"USA , ",12,FALSE
Zac Mcgraw,POR,Portland Timbers,66724,84000,Defender,Torrence,USA,193,93,,11,2,150724,6.5,Zac Mcgraw,"USA , Torrence",10,FALSE
Kendall Mcintosh,SKC,Sporting Kansas City,96375,120000,Goalkeeper,Oakland,USA,183,79,,0,0,216375,0,Kendall Mcintosh,"USA , Oakland",16,FALSE
Justin Mcmaster,MIN,Minnesota United,63547,66724,Forward,Kingston,USA,178,74,,7,0,130271,3.5,Justin Mcmaster,"USA , Kingston",15,FALSE
Ryan Meara,RBNY,New York Red Bulls,270000,324000,Goalkeeper,Crestwood,USA,192,84,,0,0,594000,0,Ryan Meara,"USA , Crestwood",10,FALSE
Tim Melia,SKC,Sporting Kansas City,504167,529167,Goalkeeper,Great River,USA,185,95,Right,28,28,1033334,28,Tim Melia,"USA , Great River",9,FALSE
Bryan Meredith,NSH,Nashville,87375,84000,Goalkeeper,"Scotch Plains, NJ",USA,188,89,,0,0,171375,0,Bryan Meredith,"USA , Scotch Plains, NJ",14,FALSE
Romain Metanire,MIN,Minnesota United,699250,819250,Defender,Metz,France,178,72,Right,29,29,1518500,29,Romain Metanire,"France , Metz",15,FALSE
Tyler Miller,MIN,Minnesota United,420937,445938,Goalkeeper,Woodbury,USA,193,88,,30,30,866875,30,Tyler Miller,"USA , Woodbury",12,FALSE
Eric Miller,NSH,Nashville,147000,168000,Defender,"Woodbury, MN",USA,185,79,Right,13,12,315000,12.5,Eric Miller,"USA , Woodbury, MN",11,FALSE
Ben Mines,CIN,Cincinnati,86239,88840,Midfielder,"Ridgefield, CT",USA,175,64,Both,0,0,175079,0,Ben Mines,"USA , Ridgefield, CT",9,FALSE
Alexandru Mitrita,NYC,New York City,700000,1150000,Midfielder,,,160,64,,0,0,1850000,0,Alexandru Mitrita," , ",17,TRUE
Cody Mizell,NYC,New York City,81375,85444,Goalkeeper,,,183,85,,0,0,166819,0,Cody Mizell," , ",11,TRUE
Alex Monis,CHI,Chicago Fire,68624,85900,Forward,Downers Grove,USA,168,60,,1,0,154524,0.5,Alex Monis,"USA , Downers Grove",10,FALSE
Callum Montgomery,MIN,Minnesota United,83292,87361,Defender,"Nanaimo, BC",Canada,190,80,,0,0,170653,0,Callum Montgomery,"Canada , Nanaimo, BC",17,FALSE
Drew Moor,COL,Colorado Rapids,165000,172500,Defender,"Dallas, TX",USA,183,75,Right,12,1,337500,6.5,Drew Moor,"USA , Dallas, TX",9,FALSE
Efrain Morales,ATL,Atlanta United,63547,65500,Defender,"Decatur, GA",USA,191,77,,0,0,129047,0,Efrain Morales,"USA , Decatur, GA",14,FALSE
Alfredo Morales,NYC,New York City,662250,662250,Midfielder,Berlin,Germany,183,77,Right,27,20,1324500,23.5,Alfredo Morales,"Germany , Berlin",15,FALSE
Steven Moreira,CLB,Columbus Crew,432708,632708,Defender,,,178,72,Right,7,6,1065416,6.5,Steven Moreira," , ",14,TRUE
Santiago Moreno,POR,Portland Timbers,294576,344576,Midfielder,Cali,Colombia,173,67,,13,3,639152,8,Santiago Moreno,"Colombia , Cali",15,FALSE
Aidan Morris,CLB,Columbus Crew,147000,172000,Midfielder,Fort Lauderdale,USA,173,61,,0,0,319000,0,Aidan Morris,"USA , Fort Lauderdale",12,FALSE
Jordan Morris,SEA,Seattle Sounders,1270100,1370100,Forward,Mercer Island,USA,183,84,Right,2,0,2640200,1,Jordan Morris,"USA , Mercer Island",13,FALSE
Eddie Munjoma,DAL,Dallas,66724,84000,Defender,"McKinney, TX",USA,178,73,,12,5,150724,8.5,Eddie Munjoma,"USA , McKinney, TX",13,FALSE
Jesus Murillo,LAFC,LAFC,459500,509500,Defender,Cali,Colombia,183,72,Right,32,32,969000,32,Jesus Murillo,"Colombia , Cali",13,FALSE
Miguel Angel Navarro,CHI,Chicago Fire,197000,240204,Defender,Maracaibo,Venezuela,175,70,Left,28,25,437204,26.5,Miguel Angel Navarro,"Venezuela , Maracaibo",20,FALSE
Jalen Neal,LA,LA Galaxy,103625,113625,Defender,,USA,191,77,,0,0,217250,0,Jalen Neal,"USA , ",10,FALSE
Dylan Nealis,NSH,Nashville,125000,200000,Defender,Massapequa,USA,180,79,,4,2,325000,3,Dylan Nealis,"USA , Massapequa",12,FALSE
Michael Nelson,HOU,Houston Dynamo,85444,139500,Goalkeeper,,USA,193,81,,11,11,224944,11,Michael Nelson,"USA , ",14,FALSE
John Nelson,DAL,Dallas,123000,73500,Defender,Medina,USA,175,74,,10,6,196500,8,John Nelson,"USA , Medina",11,FALSE
Jayden Nelson,TOR,Toronto,106586,136586,Forward,Brampton,Canada,170,67,,7,3,243172,5,Jayden Nelson,"Canada , Brampton",13,FALSE
Evan Newton,VAN,Vancouver Whitecaps,104802,114802,Goalkeeper,"Virginia Beach, VA",USA,188,86,,0,0,219604,0,Evan Newton,"USA , Virginia Beach, VA",11,FALSE
Alfonso Ocampo-Chavez,SEA,Seattle Sounders,95875,114500,Forward,Merced,USA,178,66,,0,0,210375,0,Alfonso Ocampo-Chavez,"USA , Merced",21,FALSE
Emmanuel Ochoa,SJ,San Jose Earthquakes,75080,94051,Goalkeeper,Salinas,USA,188,68,,0,0,169131,0,Emmanuel Ochoa,"USA , Salinas",14,FALSE
David Ochoa,RSL,Real Salt Lake,90000,103500,Goalkeeper,,,188,79,,25,25,193500,25,David Ochoa," , ",11,TRUE
Chris Odoi-Atsem,DC,DC United,141000,151000,Defender,,,178,68,,9,2,292000,5.5,Chris Odoi-Atsem," , ",16,TRUE
Wyatt Omsberg,CHI,Chicago Fire,85444,157000,Defender,,,193,82,,18,9,242444,13.5,Wyatt Omsberg," , ",13,TRUE
Kwadwo Opoku,LAFC,LAFC,122430,133095,Forward,Accra,Ghana,170,70,,4,2,255525,3,Kwadwo Opoku,"Ghana , Accra",12,FALSE
Arquimides Ordonez,CIN,Cincinnati,67084,69037,Forward,,USA,188,72,,4,0,136121,2,Arquimides Ordonez,"USA , ",18,FALSE
Leonard Owusu,VAN,Vancouver Whitecaps,401250,401250,Midfielder,Accra,Ghana,180,72,Right,24,14,802500,19,Leonard Owusu,"Ghana , Accra",13,FALSE
Diego Palacios,LAFC,LAFC,456000,510000,Defender,Guayaquil,Ecuador,169,68,Left,27,19,966000,23,Diego Palacios,"Ecuador , Guayaquil",14,FALSE
Marcelo Palomino,HOU,Houston Dynamo,66724,84000,Midfielder,"Houston, TX",USA,170,70,,0,0,150724,0,Marcelo Palomino,"USA , Houston, TX",16,FALSE
Elliot Panicco,NSH,Nashville,81375,85444,Goalkeeper,Paducah,USA,196,93,,0,0,166819,0,Elliot Panicco,"USA , Paducah",14,FALSE
James Pantemis,MTL,Montreal,145833,160833,Goalkeeper,Montreal,Canada,185,77,,18,18,306666,18,James Pantemis,"Canada , Montreal",14,FALSE
Isaiah Parente,CLB,Columbus Crew,67547,70724,Midfielder,,,179,68,,6,2,138271,4,Isaiah Parente," , ",14,TRUE
Tim Parker,HOU,Houston Dynamo,1199300,1037500,Defender,New York,USA,188,88,,34,34,2236800,34,Tim Parker,"USA , New York",10,FALSE
Matias Pellegrini,MIA,Inter Miami,920833,970833,Forward,,,180,72,,0,0,1891666,0,Matias Pellegrini," , ",17,TRUE
Danny Pereira,ATX,Austin,99793,102258,Midfielder,,,175,68,,25,18,202051,21.5,Danny Pereira," , ",13,TRUE
Jonathan Perez,LA,LA Galaxy,146750,171750,Midfielder,Los Angeles,USA,168,72,Left,3,0,318500,1.5,Jonathan Perez,"USA , Los Angeles",14,FALSE
Adrien Perez,DC,DC United,81375,89513,Forward,,,183,77,,17,10,170888,13.5,Adrien Perez," , ",12,TRUE
Kayden Pierre,SKC,Sporting Kansas City,68647,70600,Defender,Rochester Hills,USA,175,70,,0,0,139247,0,Kayden Pierre,"USA , Rochester Hills",13,FALSE
Rodrigo Pineiro,NSH,Nashville,347500,372500,Forward,Montevideo,Uruguay,175,71,Right,2,0,720000,1,Rodrigo Pineiro,"Uruguay , Montevideo",15,FALSE
Donovan Pines,DC,DC United,127000,152000,Defender,Clarksville,USA,186,91,,18,16,279000,17,Donovan Pines,"USA , Clarksville",13,FALSE
Alvas Powell,PHI,Philadelphia Union,88875,167000,Defender,St. Thomas,Jamaica,183,75,Right,5,4,255875,4.5,Alvas Powell,"Jamaica , St. Thomas",12,FALSE
Jack Price,COL,Colorado Rapids,655625,725000,Midfielder,,,170,87,Right,30,30,1380625,30,Jack Price," , ",10,TRUE
William Pulisic,ATX,Austin,63547,66724,Goalkeeper,Mechanicsville,USA,180,77,,0,0,130271,0,William Pulisic,"USA , Mechanicsville",15,FALSE
John Pulskamp,SKC,Sporting Kansas City,69860,92216,Goalkeeper,Bakersfield,USA,193,95,,6,6,162076,6,John Pulskamp,"USA , Bakersfield",13,FALSE
Andrew Putna,RSL,Real Salt Lake,153458,168458,Goalkeeper,"Lemont, IL",USA,188,82,,3,2,321916,2.5,Andrew Putna,"USA , Lemont, IL",12,FALSE
Facundo Quignon,DAL,Dallas,840627,840627,Midfielder,Buenos Aires,Argentina,178,73,Left,18,16,1681254,17,Facundo Quignon,"Argentina , Buenos Aires",15,FALSE
Kaveh Rad,SKC,Sporting Kansas City,63547,84000,Defender,"Chapel Hill, NC",USA,185,84,,5,2,147547,3.5,Kaveh Rad,"USA , Chapel Hill, NC",9,FALSE
Ryan Raposo,VAN,Vancouver Whitecaps,104000,114000,Midfielder,Hamilton,Canada,170,63,,21,3,218000,12,Ryan Raposo,"Canada , Hamilton",11,FALSE
Sean Rea,MTL,Montreal,71730,74809,Midfielder,"Montreal, QC",USA,165,67,,0,0,146539,0,Sean Rea,"USA , Montreal, QC",8,FALSE
Matthew Real,PHI,Philadelphia Union,90000,105000,Defender,,USA,183,73,,8,1,195000,4.5,Matthew Real,"USA , ",12,FALSE
Rodney Redes,ATX,Austin,385000,412500,Forward,La Colmena,Paraguay,172,72,,25,5,797500,15,Rodney Redes,"Paraguay , La Colmena",12,FALSE
Beni Redzic,DAL,Dallas,71169,74346,Forward,"Carrollton, TX",USA,178,72,,0,0,145515,0,Beni Redzic,"USA , Carrollton, TX",11,FALSE
Eric Remedi,SJ,San Jose Earthquakes,450000,450000,Midfielder,Parana,Argentina,167,77,Right,29,26,900000,27.5,Eric Remedi,"Argentina , Parana",11,FALSE
Justin Rennicks,NE,New England Revolutio,110000,120000,Forward,Boston,USA,180,75,,1,0,230000,0.5,Justin Rennicks,"USA , Boston",15,FALSE
Andre Reynolds,CHI,Chicago Fire,89375,98000,Defender,Chicago,USA,175,70,,0,0,187375,0,Andre Reynolds,"USA , Chicago",14,FALSE
Spencer Richey,SEA,Seattle Sounders,81375,132000,Goalkeeper,Seattle,USA,185,88,,2,2,213375,2,Spencer Richey,"USA , Seattle",14,FALSE
Tosaint Ricketts,VAN,Vancouver Whitecaps,165000,84000,Forward,"Edmonton, AB",Canada,183,77,,14,0,249000,7,Tosaint Ricketts,"Canada , Edmonton, AB",16,FALSE
Damian Rivera,NE,New England Revolutio,63547,84000,Midfielder,Cranston,USA,178,73,,1,0,147547,0.5,Damian Rivera,"USA , Cranston",13,FALSE
Wilfredo Rivera,ORL,Orlando City,63547,66724,Midfielder,,,168,67,,0,0,130271,0,Wilfredo Rivera," , ",15,TRUE
Thomas Roberts,DAL,Dallas,163000,172000,Midfielder,"Little Rock, AR",USA,180,68,Left,0,0,335000,0,Thomas Roberts,"USA , Little Rock, AR",14,FALSE
Alexandre Pato,ORL,Orlando City,272727,400000,Forward,,,175,72,,4,1,672727,2.5,Alexandre Pato," , ",14,TRUE
Abraham Rodriguez,COL,Colorado Rapids,63547,84000,Goalkeeper,,,173,75,,0,0,147547,0,Abraham Rodriguez," , ",17,TRUE
Allan Rodriguez,CHI,Chicago Fire,68624,85900,Midfielder,Elkhart,USA,165,69,,0,0,154524,0,Allan Rodriguez,"USA , Elkhart",15,FALSE
Jhohan Romana,ATX,Austin,420000,440000,Defender,Apartadó,Colombia,185,79,,25,19,860000,22,Jhohan Romana,"Colombia , Apartadó",13,FALSE
Tomas Romero,LAFC,LAFC,86375,95000,Goalkeeper,Cherry Hill,USA,188,86,Right,18,18,181375,18,Tomas Romero,"USA , Cherry Hill",12,FALSE
Dave Romney,NSH,Nashville,225000,475000,Defender,Irvine,USA,188,86,,33,33,700000,33,Dave Romney,"USA , Irvine",11,FALSE
Eloy Room,CLB,Columbus Crew,479698,883000,Goalkeeper,Nijmegen,Netherlands,188,81,Right,30,30,1362698,30,Eloy Room,"Netherlands , Nijmegen",9,FALSE
Joseph Rosales,MIN,Minnesota United,81375,65500,Midfielder,Tegucigalpa,Honduras,,,,6,0,146875,3,Joseph Rosales,"Honduras , Tegucigalpa",14,FALSE
Oriol Rosell,ORL,Orlando City,475000,475000,Midfielder,Puig-Reig,Spain,183,70,Right,14,6,950000,10,Oriol Rosell,"Spain , Puig-Reig",12,FALSE
Matheus Rossetto,ATL,Atlanta United,662500,662500,Midfielder,Santo Amaro da Imperatriz,Brazil,180,75,Right,21,15,1325000,18,Matheus Rossetto,"Brazil , Santo Amaro da Imperatriz",16,FALSE
Pablo Ruiz,RSL,Real Salt Lake,448500,523500,Midfielder,Comodoro de Rivadavia,Argentina,172,80,Left,29,24,972000,26.5,Pablo Ruiz,"Argentina , Comodoro de Rivadavia",10,FALSE
Adam Esparza-Saldana,LA,LA Galaxy,87309,89513,Midfielder,,USA,173,66,,18,5,176822,11.5,Adam Esparza-Saldana,"USA , ",20,FALSE
Shea Salinas,SJ,San Jose Earthquakes,280000,280000,Midfielder,Lubbock,USA,175,75,,27,14,560000,20.5,Shea Salinas,"USA , Lubbock",12,FALSE
James Sands,NYC,New York City,200000,493956,Midfielder,Rye,USA,185,84,Right,26,26,693956,26,James Sands,"USA , Rye",11,FALSE
Rodrigo Schlegel,ORL,Orlando City,127425,200000,Defender,Remedios de Escalada,Argentina,182,82,Right,23,16,327425,19.5,Rodrigo Schlegel,"Argentina , Remedios de Escalada",16,FALSE
Tate Schmitt,RSL,Real Salt Lake,90000,92500,Forward,"Phoenix, AZ",USA,178,72,,0,0,182500,0,Tate Schmitt,"USA , Phoenix, AZ",12,FALSE
Brady Scott,ATX,Austin,121236,84000,Goalkeeper,Petaluma,USA,187,79,Right,0,0,205236,0,Brady Scott,"USA , Petaluma",11,FALSE
Eddie Segura,LAFC,LAFC,224000,224000,Defender,Pereira,Colombia,178,70,Right,15,14,448000,14.5,Eddie Segura,"Colombia , Pereira",12,FALSE
Amar Sejdic,ATL,Atlanta United,81375,85444,Midfielder,Berlin,Germany,178,72,,10,5,166819,7.5,Amar Sejdic,"Germany , Berlin",11,FALSE
Brandon Servania,DAL,Dallas,271400,455833,Midfielder,Birmingham,USA,178,73,,14,11,727233,12.5,Brandon Servania,"USA , Birmingham",16,FALSE
Marcelo Silva,RSL,Real Salt Lake,596667,646667,Defender,Fray Bentos,Uruguay,185,91,Right,20,20,1243334,20,Marcelo Silva,"Uruguay , Fray Bentos",13,FALSE
Judson,SJ,San Jose Earthquakes,365000,425000,Midfielder,,Brazil,168,76,,23,20,790000,21.5,Judson,"Brazil , ",6,FALSE
Jonathan Sirois,MTL,Montreal,71167,88319,Goalkeeper,,,183,73,,0,0,159486,0,Jonathan Sirois," , ",15,TRUE
Jack Skahan,SJ,San Jose Earthquakes,66724,84000,Midfielder,Memphis,USA,178,78,,9,2,150724,5.5,Jack Skahan,"USA , Memphis",11,FALSE
Andrew Skundrich,DC,DC United,81375,89513,Midfielder,,,180,75,,20,11,170888,15.5,Andrew Skundrich," , ",16,TRUE
Gabriel Slonina,CHI,Chicago Fire,104800,147800,Goalkeeper,Addison,USA,193,88,,11,11,252600,11,Gabriel Slonina,"USA , Addison",15,FALSE
Kimarni Smith,DC,DC United,81375,85444,Forward,,,185,73,,3,1,166819,2,Kimarni Smith," , ",13,TRUE
Collin Smith,DAL,Dallas,66547,93000,Defender,Jacksonville,,178,78,,0,0,159547,0,Collin Smith," , Jacksonville",12,FALSE
Anthony Sorenson,PHI,Philadelphia Union,66547,88444,Defender,Port-au-Prince,Haiti,168,57,,0,0,154991,0,Anthony Sorenson,"Haiti , Port-au-Prince",16,FALSE
Santiago Sosa,ATL,Atlanta United,503100,643100,Midfielder,La Plata,Argentina,175,78,Right,25,25,1146200,25,Santiago Sosa,"Argentina , La Plata",13,FALSE
Caio Alexandre,VAN,Vancouver Whitecaps,539583,562500,Midfielder,Duque de Caxias,Brazil,175,68,,15,11,1102083,13,Caio Alexandre,"Brazil , Duque de Caxias",14,FALSE
Omar Sowe,RBNY,New York Red Bulls,72633,93086,Forward,,,183,77,,1,0,165719,0.5,Omar Sowe," , ",9,TRUE
Dayne St. Clair,MIN,Minnesota United,99520,321875,Goalkeeper,Pickering,Canada,191,75,,4,4,421395,4,Dayne St. Clair,"Canada , Pickering",15,FALSE
Mason Stajduhar,ORL,Orlando City,85444,89716,Goalkeeper,Salem,USA,188,86,Right,5,5,175160,5,Mason Stajduhar,"USA , Salem",15,FALSE
Daniel Steres,LA,LA Galaxy,393750,468750,Defender,Burbank,USA,183,78,,18,13,862500,15.5,Daniel Steres,"USA , Burbank",13,FALSE
Brad Stuver,ATX,Austin,160000,185000,Goalkeeper,Mayfield,USA,191,82,,33,33,345000,33,Brad Stuver,"USA , Mayfield",11,FALSE
Hunter Sulte,POR,Portland Timbers,68143,69892,Goalkeeper,,,201,88,,2,1,138035,1.5,Hunter Sulte," , ",12,TRUE
Beckham Sunderland,CIN,Cincinnati,67609,87863,Goalkeeper,"Aurora, IL",USA,185,77,,0,0,155472,0,Beckham Sunderland,"USA , Aurora, IL",18,FALSE
Ben Sweat,ATX,Austin,250000,200000,Defender,Palm Harbor,USA,185,80,Left,2,2,450000,2,Ben Sweat,"USA , Palm Harbor",9,FALSE
Andrew Tarbell,ATX,Austin,283333,308333,Goalkeeper,,,191,86,,1,1,591666,1,Andrew Tarbell," , ",14,TRUE
Dj Taylor,MIN,Minnesota United,63547,85444,Defender,Raleigh,USA,173,72,,8,6,148991,7,Dj Taylor,"USA , Raleigh",9,FALSE
Andrew Thomas,SEA,Seattle Sounders,88875,91500,Goalkeeper,,,188,82,,0,0,180375,0,Andrew Thomas," , ",13,TRUE
Tommy Thompson,SJ,San Jose Earthquakes,265000,280000,Defender,Hinsdale,USA,170,72,,14,12,545000,13,Tommy Thompson,"USA , Hinsdale",14,FALSE
Robert Thorkelsson,MTL,Montreal,173500,173500,Defender,,,,,,0,0,347000,0,Robert Thorkelsson," , ",18,TRUE
Anton Tinnerholm,NYC,New York City,650000,800000,Defender,Linkoping,Sweden,175,68,Right,25,23,1450000,24,Anton Tinnerholm,"Sweden , Linkoping",16,FALSE
Nouhou Tolo,SEA,Seattle Sounders,169274,344274,Defender,Douala,Cameroon,178,79,Left,19,16,513548,17.5,Nouhou Tolo,"Cameroon , Douala",11,FALSE
Christian Torres,LAFC,LAFC,90968,101230,Forward,Fontana,USA,178,69,,0,0,192198,0,Christian Torres,"USA , Fontana",16,FALSE
Dantouma Toure,COL,Colorado Rapids,78165,80118,Forward,,Guinea,175,68,,1,0,158283,0.5,Dantouma Toure,"Guinea , ",14,FALSE
Mohamed Traore,LAFC,LAFC,91444,100000,Defender,Dakar,Senegal,190,71,,0,0,191444,0,Mohamed Traore,"Senegal , Dakar",14,FALSE
Cole Turner,PHI,Philadelphia Union,88444,92716,Midfielder,"Churchville, MD",USA,188,82,,1,0,181160,0.5,Cole Turner,"USA , Churchville, MD",11,FALSE
Ema Twumasi,DAL,Dallas,246900,309300,Midfielder,Accra,Ghana,173,76,,23,19,556200,21,Ema Twumasi,"Ghana , Accra",11,FALSE
Victor Ulloa,MIA,Inter Miami,220000,250000,Midfielder,Wylie,USA,181,75,,21,14,470000,17.5,Victor Ulloa,"USA , Wylie",12,FALSE
Zarek Valentin,HOU,Houston Dynamo,280000,290000,Defender,Lancaster,USA,183,77,,29,28,570000,28.5,Zarek Valentin,"USA , Lancaster",14,FALSE
Jose Van Rankin,POR,Portland Timbers,105255,85000,Defender,Mexico City,Mexico,173,68,Right,33,27,190255,30,Jose Van Rankin,"Mexico , Mexico City",15,FALSE
Kenneth Vermeer,CIN,Cincinnati,104375,84000,Goalkeeper,Amsterdam,Netherlands,181,78,Right,19,19,188375,19,Kenneth Vermeer,"Netherlands , Amsterdam",15,FALSE
Pedro Vite,VAN,Vancouver Whitecaps,609997,609997,Midfielder,Babahoyo,Ecuador,168,68,,0,0,1219994,0,Pedro Vite,"Ecuador , Babahoyo",10,FALSE
Justin Vom Steeg,LA,LA Galaxy,85444,84000,Goalkeeper,Santa Barbara,USA,193,82,,0,0,169444,0,Justin Vom Steeg,"USA , Santa Barbara",16,FALSE
Casey Walls,SJ,San Jose Earthquakes,88000,103000,Defender,London,England,188,78,Left,0,0,191000,0,Casey Walls,"England , London",11,FALSE
Taylor Washington,NSH,Nashville,89513,107570,Defender,Somers,USA,178,77,,17,12,197083,14.5,Taylor Washington,"USA , Somers",17,FALSE
Bryce Washington,ATL,Atlanta United,63547,65500,Defender,"Atlanta, GA",USA,188,82,,0,0,129047,0,Bryce Washington,"USA , Atlanta, GA",16,FALSE
