name,club_abb,club,2021 guaranteed comp.,2022 guar. comp.,position,birth_city,birth_country,"height, cm","weight, kg",foot,games_played,game_started,sum,average,trim data,merge data,length,exact
Sebastian Breza,MTL,Montreal,63547,84000,Goalkeeper,Ottawa,Canada,193,87,Right,8,8,147547,8,Sebastian Breza,"Canada , Ottawa",15,FALSE
Andrew Brody,RSL,Real Salt Lake,85208,215678,Defender,Orlando,USA,178,66,,16,12,300886,14,Andrew Brody,"USA , Orlando",12,FALSE
Javain Brown,VAN,Vancouver Whitecaps,63547,97481,Defender,Kingston,Jamaica,180,79,Right,25,19,161028,22,Javain Brown,"Jamaica , Kingston",12,FALSE
Jesus Bueno,PHI,Philadelphia Union,96753,155378,Midfielder,Barquisimeto,Venezuela,179,74,,6,0,252131,3,Jesus Bueno,"Venezuela , Barquisimeto",11,FALSE
Evan Bush,CLB,Columbus Crew,438667,84000,Goalkeeper,Concord,USA,186,85,,4,4,522667,4,Evan Bush,"USA , Concord",9,FALSE
Handwalla Bwana,NSH,Nashville,85444,140000,Midfielder,Mombasa,Kenya,175,66,,4,1,225444,2.5,Handwalla Bwana,"Kenya , Mombasa",15,FALSE
Scott Caldwell,NE,New England Revolutio,215896,205000,Midfielder,Braintree,USA,173,69,Right,13,2,420896,7.5,Scott Caldwell,"USA , Braintree",14,FALSE
Drake Callender,MIA,Inter Miami,120000,130000,Goalkeeper,,USA,188,88,,0,0,250000,0,Drake Callender,"USA , ",15,FALSE
Geoff Cameron,CIN,Cincinnati,389667,469000,Defender,"Attleboro, MA",USA,191,84,Right,28,26,858667,27,Geoff Cameron,"USA , Attleboro, MA",13,FALSE
Matteo Campagna,VAN,Vancouver Whitecaps,72559,74512,Defender,Vancouver,Canada,188,73,,0,0,147071,0,Matteo Campagna,"Canada , Vancouver",15,FALSE
Javier Casas,CHI,Chicago Fire,68624,85900,Midfielder,Addison,USA,162,65,Right,2,0,154524,1,Javier Casas,"USA , Addison",12,FALSE
Dylan Castanheira,MIA,Inter Miami,81375,85444,Goalkeeper,"Landing, NJ",USA,188,91,,0,0,166819,0,Dylan Castanheira,"USA , Landing, NJ",17,FALSE
Juan Castilla,HOU,Houston Dynamo,77897,70022,Midfielder,,Colombia,177,69,,2,0,147919,1,Juan Castilla,"Colombia , ",13,FALSE
Darwin Ceren,HOU,Houston Dynamo,245500,240000,Midfielder,,El Salvador,178,73,,25,13,485500,19,Darwin Ceren,"El Salvador , ",12,FALSE
Edwin Cerrillo,DAL,Dallas,110000,145000,Midfielder,Waco,USA,175,79,,22,16,255000,19,Edwin Cerrillo,"USA , Waco",14,FALSE
Maxime Chanot,NYC,New York City,785000,700000,Defender,Nancy,France,185,78,Right,30,29,1485000,29.5,Maxime Chanot,"France , Nancy",13,FALSE
Justin Che,DAL,Dallas,89209,109209,Defender,"Richardson, TX",USA,185,79,,15,12,198418,13.5,Justin Che,"USA , Richardson, TX",10,FALSE
Machop Chol,ATL,Atlanta United,63547,65500,Forward,Khartoum,Sudan,188,79,Right,9,4,129047,6.5,Machop Chol,"Sudan , Khartoum",11,FALSE
Osvaldo Cisneros,SKC,Sporting Kansas City,66547,68500,Midfielder,Omaha,USA,165,59,,0,0,135047,0,Osvaldo Cisneros,"USA , Omaha",16,FALSE
Abdoulaye Cissoko,SEA,Seattle Sounders,63547,66724,Defender,,,188,88,,14,12,130271,13,Abdoulaye Cissoko," , ",17,TRUE
Steve Clark,POR,Portland Timbers,250000,620031,Goalkeeper,Mason,USA,188,86,Right,24,24,870031,24,Steve Clark,"USA , Mason",11,FALSE
Stefan Cleveland,SEA,Seattle Sounders,96375,167500,Goalkeeper,Dayton,USA,188,84,,15,15,263875,15,Stefan Cleveland,"USA , Dayton",16,FALSE
Derek Cornelius,VAN,Vancouver Whitecaps,127050,127050,Defender,Ajax,Canada,187,86,Both,5,1,254100,3,Derek Cornelius,"Canada , Ajax",15,FALSE
Joe Corona,HOU,Houston Dynamo,290000,315000,Midfielder,"Los Angeles, CA",USA,172,73,Right,30,19,605000,24.5,Joe Corona,"USA , Los Angeles, CA",10,FALSE
Carlos Miguel Coronel,RBNY,New York Red Bulls,512656,529660,Goalkeeper,Corumbá,Brazil,192,88,Right,34,34,1042316,34,Carlos Miguel Coronel,"Brazil , Corumbá",21,FALSE
Sega Coulibaly,LA,LA Galaxy,337000,457000,Defender,,Mali,182,89,Right,19,17,794000,18,Sega Coulibaly,"Mali , ",14,FALSE
Brandan Craig,PHI,Philadelphia Union,77825,97825,Midfielder,,USA,185,72,Right,0,0,175650,0,Brandan Craig,"USA , ",13,FALSE
Maxime Crepeau,VAN,Vancouver Whitecaps,277500,302500,Goalkeeper,Greenfield Park,Canada,181,88,,27,27,580000,27,Maxime Crepeau,"Canada , Greenfield Park",14,FALSE
Cody Cropper,CIN,Cincinnati,84427,84000,Goalkeeper,"Atlanta, GA",USA,191,91,Right,1,1,168427,1,Cody Cropper,"USA , Atlanta, GA",12,FALSE
Auro,TOR,Toronto,388750,428750,Defender,Jaú,Brazil,168,62,Right,25,23,817500,24,Auro,"Brazil , Jaú",4,FALSE
Sean Davis,RBNY,New York Red Bulls,402500,637500,Midfielder,,,183,75,,34,34,1040000,34,Sean Davis," , ",10,TRUE
Jacob Davis,SKC,Sporting Kansas City,63547,65500,Midfielder,Rochester,USA,178,70,Right,0,0,129047,0,Jacob Davis,"USA , Rochester",11,FALSE
Alex De John,ATL,Atlanta United,81375,85444,Defender,"Marlboro Township, NJ",USA,183,80,,4,1,166819,2.5,Alex De John,"USA , Marlboro Township, NJ",12,FALSE
Artur Lima,CLB,Columbus Crew,531633,615633,Midfielder,,,181,68,Right,6,5,1147266,5.5,Artur Lima," , ",10,TRUE
Gregore De Magalhaes Silva,MIA,Inter Miami,651000,801000,Midfielder,,,181,78,,29,29,1452000,29,Gregore De Magalhaes Silva," , ",26,TRUE
Aj Delagarza,NE,New England Revolutio,250000,250000,Defender,Bryans Road,USA,175,68,Right,10,5,500000,7.5,Aj Delagarza,"USA , Bryans Road",12,FALSE
Nick Depuy,LA,LA Galaxy,81375,231000,Defender,Irvine,USA,196,93,,25,18,312375,21.5,Nick Depuy,"USA , Irvine",10,FALSE
Jeffrey Dewsnup,RSL,Real Salt Lake,73372,93825,Goalkeeper,,,185,72,,0,0,167197,0,Jeffrey Dewsnup," , ",15,TRUE
Joseph Dezart,ORL,Orlando City,66724,89716,Midfielder,,,185,88,,17,7,156440,12,Joseph Dezart," , ",13,TRUE
Eric Dick,CLB,Columbus Crew,85444,84000,Goalkeeper,,USA,196,93,,0,0,169444,0,Eric Dick,"USA , ",9,FALSE
Ethan Dobbelaere,SEA,Seattle Sounders,81360,103716,Midfielder,Seattle,USA,175,65,,7,2,185076,4.5,Ethan Dobbelaere,"USA , Seattle",16,FALSE
Irakoze Donasiyano,NSH,Nashville,63547,66724,Midfielder,,Tanzania,175,70,,1,0,130271,0.5,Irakoze Donasiyano,"Tanzania , ",18,FALSE
Erik Duenas,LAFC,LAFC,92444,102000,Midfielder,Los Angeles,USA,163,59,,0,0,194444,0,Erik Duenas,"USA , Los Angeles",11,FALSE
Bryce Duke,LAFC,LAFC,90000,122000,Midfielder,Casa Grande,USA,170,66,,15,3,212000,9,Bryce Duke,"USA , Casa Grande",10,FALSE
Cameron Dunbar,LA,LA Galaxy,116750,136750,Forward,San Diego,USA,163,72,Both,14,2,253500,8,Cameron Dunbar,"USA , San Diego",14,FALSE
Dom Dwyer,TOR,Toronto,81375,84000,Forward,Cuckfield,England,174,82,Left,14,6,165375,10,Dom Dwyer,"England , Cuckfield",9,FALSE
Michael Edwards,COL,Colorado Rapids,81375,84000,Defender,,,192,80,,0,0,165375,0,Michael Edwards," , ",15,TRUE
Raheem Edwards,LAFC,LAFC,96375,307500,Forward,Toronto,Canada,173,68,,27,15,403875,21,Raheem Edwards,"Canada , Toronto",14,FALSE
Earl Edwards,NE,New England Revolutio,81375,84000,Goalkeeper,,,190,93,Right,0,0,165375,0,Earl Edwards," , ",12,TRUE
David Egbo,VAN,Vancouver Whitecaps,63547,66724,Forward,Kaduna,Nigeria,185,84,,0,0,130271,0,David Egbo,"Nigeria , Kaduna",10,FALSE
Kalil Elmedkhar,DAL,Dallas,63547,66724,Midfielder,"Middletown, DE",USA,183,78,,6,0,130271,3,Kalil Elmedkhar,"USA , Middletown, DE",15,FALSE
Fred Emmings,MIN,Minnesota United,72724,90000,Goalkeeper,Saint Paul,USA,195,95,,0,0,162724,0,Fred Emmings,"USA , Saint Paul",12,FALSE
Franco Escobar,ATL,Atlanta United,450000,550008,Defender,Rosario,Argentina,171,72,Right,0,0,1000008,0,Franco Escobar,"Argentina , Rosario",14,FALSE
Roger Espinoza,SKC,Sporting Kansas City,500000,300000,Midfielder,Puerto Cortes,Honduras,180,84,Left,32,24,800000,28,Roger Espinoza,"Honduras , Puerto Cortes",14,FALSE
Jhon Espinoza,CHI,Chicago Fire,188500,242500,Defender,,,178,74,,20,8,431000,14,Jhon Espinoza," , ",13,TRUE
Bento Estrela,RBNY,New York Red Bulls,87547,90724,Midfielder,Bloomfield,USA,185,71,,0,0,178271,0,Bento Estrela,"USA , Bloomfield",13,FALSE
Marco Farfan,LAFC,LAFC,190000,225000,Defender,Portland,USA,178,72,Left,29,21,415000,25,Marco Farfan,"USA , Portland",12,FALSE
Zackery Farnsworth,RSL,Real Salt Lake,96125,98750,Defender,Cedar Hills,USA,185,75,,0,0,194875,0,Zackery Farnsworth,"USA , Cedar Hills",18,FALSE
Andrew Farrell,NE,New England Revolutio,418750,443750,Defender,Louisville,USA,181,84,Right,33,33,862500,33,Andrew Farrell,"USA , Louisville",14,FALSE
Keesean Ferdinand,MTL,Montreal,73592,99936,Defender,Rivière-des-Prairies,Canada,183,72,,0,0,173528,0,Keesean Ferdinand,"Canada , Rivière-des-Prairies",17,FALSE
Marcus Ferkranus,LA,LA Galaxy,103625,113625,Defender,"Santa Clarita, CA",USA,185,84,,0,0,217250,0,Marcus Ferkranus,"USA , Santa Clarita, CA",16,FALSE
Oniel Fisher,LA,LA Galaxy,147625,133000,Defender,Portmore,Jamaica,175,70,,12,5,280625,8.5,Oniel Fisher,"Jamaica , Portmore",12,FALSE
Andreu Fontas,SKC,Sporting Kansas City,1125000,1125000,Defender,Bañolas,Spain,188,91,Left,33,33,2250000,33,Andreu Fontas,"Spain , Bañolas",13,FALSE
Kortne Ford,COL,Colorado Rapids,140000,151667,Defender,Olathe,USA,188,84,,0,0,291667,0,Kortne Ford,"USA , Olathe",11,FALSE
Alan Franco,ATL,Atlanta United,505500,667500,Defender,Avellana,Argentina,180,77,Right,25,23,1173000,24,Alan Franco,"Argentina , Avellana",11,FALSE
Ian Fray,MIA,Inter Miami,63547,84000,Defender,,,183,73,,0,0,147547,0,Ian Fray," , ",8,TRUE
Tyler Freeman,SKC,Sporting Kansas City,97500,112500,Forward,,,180,68,,0,0,210000,0,Tyler Freeman," , ",13,TRUE
Matt Freese,PHI,Philadelphia Union,115500,137000,Goalkeeper,Wayne,USA,190,88,,6,6,252500,6,Matt Freese,"USA , Wayne",11,FALSE
Stefan Frei,SEA,Seattle Sounders,500000,500000,Goalkeeper,Altstätten,Switzerland,191,89,,17,17,1000000,17,Stefan Frei,"Switzerland , Altstätten",11,FALSE
Gilbert Fuentes,SJ,San Jose Earthquakes,178750,208750,Midfielder,"Tracy, CA",USA,169,65,,0,0,387500,0,Gilbert Fuentes,"USA , Tracy, CA",15,FALSE
